Crop name,Botanical name,ICC code,Previous code
Fennel,Foeniculum vulgare,219,1.5.1.1.5
Fenugreek,Trigonella foenum-graecum,79,1.3.9
Fig,Ficus carica,314,2.1.6.0.6
Filbert (Hazelnut),Corylus avellana,364,2.1.7.5
Fique,Furcraea macrophylla,9219,2.2.4.6
Flax for fibre,Linum usitatissimum,9213,1.4.4.2
Flax for oil seed (linseed),Linum usitatissimum,9213,1.4.2.0.3
Formio (New Zealand flax),Phormium tenax,9214,2.2.4.4
"Garlic, dry",Allium sativum,233,1.2.7
"Garlic, green",Allium sativum,233,1.5.3.2
Geranium,Pelargonium spp.; Geranium spp.,931,1.4.3.2
Ginger,Zingiber officinale,6225,2.2.3.4
Gooseberry (all varieties),Ribes spp.,342,2.1.5.4
Gourd,Lagenaria spp; Cucurbita spp.,226,1.5.2.0.5
Gram pea (chickpea),Cicer arietinum,73,1.3.4
Grape,Vitis vinifera,33,2.1.4
Grapefruit,Citrus paradisi,321,2.1.1.4
Grapes for raisins,Vitis vinifera,33,2.1.4.3
Grapes for table use,Vitis vinifera,33,2.1.4.2
Grapes for wine,Vitis vinifera,33,2.1.4.1
Grass esparto,Lygeum spartum,991,1.4.5.4
"Grass, orchard",Dactylis glomerata,911,1.7.2.1
"Grass, Sudan",Sorghum bicolor var. sudanense,911,1.7.2.1
Groundnut (peanut),Arachis hypogaea,42,1.4.2.0.1
Guava,Psidium guajava,319,2.1.6.0.7
Guinea corn (sorghum),Sorghum bicolor,14,1.1.5.2
Hazelnut (filbert),Corylus avellana,364,2.1.7.5
Hemp fibre,Cannabis sativa ssp. indica,9213,1.4.4.3
"Hemp, Manila (abaca)",Musa textilis,922,2.2.4.1
"Hemp, sun",Crotalaria juncea,9213,1.4.4.5
Hempseed,Cannabis sativa (marijuana),439,1.4.2.1.1
Henequen,Agave fourcroydes,922,2.2.4.2
Henna,Lawsonia inermis,911,1.4.5.4
Hop,Humulus lupulus,619,2.2.1.4
Horse bean,Vicia faba,72,1.3.2
Horseradish,Armoracia rusticana,239,1.5.3.8
Hybrid maize,Zea mays,12,1.1.3.1
Indigo,Indigofera tinctoria,991,1.4.5.4
Jasmine,Jasminum spp.,952,2.2.6.2
Jerusalem artichoke,Helianthus tuberosus,211,1.7.5.0.2
Jowar (sorghum),Sorghum bicolor,14,1.1.5.2
Jute,Corchorus spp. (over 30 sp.),9212,1.4.4.4
Kale,Brassica oleracea var. acephala,219,1.5.1.1.0
Kapok,Ceiba pentandra,922,2.2.4.3
Kenaf,Hibiscus cannabinus,9212,1.4.4.5
Kohlrabi,Brassica oleracea var. gongylodes,239,1.5.3.6
Lavender,Lavandula spp. (over 15 sp.),931,1.4.3.2
Leek,Allium ampeloprasum; Allium porrum,235,1.5.1.1.1
Lemon,Citrus limon,322,2.1.1.3
Lemon grass,Cymbopogon citratus,922,2.2.7.7
Lentil,Lens culinaris,75,1.3.5
Lespedeza (all varieties),Lespedeza spp.,911,1.7.1.3
Lettuce,Lactuca sativa var. capitata,215,1.5.1.1.2
"Lime, sour",Citrus aurantifolia,322,2.1.1.5
"Lime, sweet",Citrus limetta,322,2.1.1.6
Linseed (flax for oil seed),Linum usitatissimum,432,1.4.2.0.3
Liquorice,Glycyrrhiza glabra,931,1.4.3.3
Litchi,Litchi chinensis,319,2.1.6.1.5
Loquat,Eriobotrya japonica,359,2.1.2.5
Lupine (all varieties),Lupinus spp.,76,1.3.9
Macadamia (Queensland nut),Macadamia spp. ternifolia,369,2.1.7.6
Mace,Myristica fragrans,6222,2.2.3.5
Maguey,Agave atrovirens,922,2.2.4.6
Maize (corn),Zea mays,12,1.1.3
Maize (corn) for silage,Zea mays,12,1.7.3.1
Maize (hybrid),Zea mays,12,1.1.3.1
"Maize, ordinary",Zea mays,12,1.1.3.2
Mandarin,Citrus reticulata,324,2.1.1.2
Mangel (fodder beet),Beta vulgaris,81,1.7.5.0.5
Mango,Mangifera indica,315,2.1.6.0.8
Manioc (cassava),Manihot esculenta,53,1.2.3
Maslin (mixed cereals),Mixture of Triticum spp.; Secale cereale,191,1.1.8
Medlar,Mespilus germanica,359,2.1.2.4
Melon (except watermelon),Cucumis melo,225,1.5.2.0.1
Millet broom,Sorghum bicolor,18,1.4.5.4
"Millet, bajra",Pennisetum americanum,18,1.1.5.1.2
"Millet, bulrush",Pennisetum americanum,18,1.1.5.1.1
"Millet, finger",Eleusine coracana,18,1.1.5.1.1
"Millet, foxtail",Setaria italica,18,1.1.5.1.2
"Millet, Japanese",Echinochloa esculenta,18,1.1.5.1.2
"Millet, pearl (bajra, bulrush)",Pennisetum americanum,18,1.1.5.1.1
"Millet, proso",Panicum miliaceum,18,1.1.5.1.1
Mint (all varieties),Mentha spp.,6219,1.4.3.2
Mulberry for fruit (all varieties),Morus spp.,39,2.1.6.1.5
Mulberry for silkworms,Morus alba,39,2.2.7.2
Mushrooms,Agaricus spp.; Pleurotus spp.; Volvariella,24,1.6.2.2
Mustard,Brassica nigra; Sinapis alba,433,1.4.2.0.6
Nectarine,Prunus persica var. nectarina,354,2.1.3.5
New Zealand flax (formio),Phormium tenax,922,2.2.4.4
Niger seed,Guizotia abyssinica,434,1.4.2.1.1
Nutmeg,Myristica fragrans,6222,2.2.3.5
"Oats, for fodder",Avena spp. (about 30 sp.),17,1.7.3.2
"Oats, for grain",Avena spp. (about 30 sp.),17,1.1.6
Oil palm,Elaeis guineensis,443,2.2.2.2
Okra,Abelmoschus esculentus,229,1.5.2.0.6
Olive,Olea europaea,442,2.2.2.3
Onion seed,Allium cepa,234,1.8.5
"Onion, dry",Allium cepa,234,1.2.6
"Onion, green",Allium cepa,234,1.5.3.3
Opium,Papaver somniferum,931,1.4.3.3
Orange,Citrus sinensis,323,2.1.1.1
"Orange, bitter",Citrus aurantium,323,2.1.1.6
Ornamental plants,Various,951,1.6.1.2
Palm palmyra,Borassus flabellifer,992,2.2.7.4
"Palm, kernel oil",Elaeis guineensis,443,2.2.2.2
"Palm, oil",Elaeis guineensis,443,2.2.2.2
"Palm, sago",Metroxylon sagu,992,2.2.7.3
Papaya (pawpaw),Carica papaya,316,2.1.6.0.9
Parsnip,Pastinaca sativa,239,1.5.3.8
"Pea, edible dry, for grain",Pisum sativum,77,1.3.3
"Pea, harvested green",Pisum sativum,77,1.5.4.2
Peach,Prunus persica,354,2.1.3.3
Peanut (groundnut),Arachis hypogaea,42,1.4.2.0.1
Pear,Pyrus communis,355,2.1.2.2
Pecan nut,Carya illinoensis,369,2.1.7.6
"Pepper, black",Piper nigrum,6221,2.2.3.1
"Pepper, dry",Capsicum spp. (over 30 sp.),6211,1.4.3.1
Persimmon,Diospyros kaki; Diospyros virginiana,319,2.1.6.1.0
Pigeon pea,Cajanus cajan,78,1.3.7
Pineapple,Ananas comosus,317,2.1.6.1.1
Pistachio nut,Pistacia vera,365,2.1.7.6
Plantain,Musa sapientum,312,2.1.6.1.2
Plum,Prunus domestica,356,2.1.3.4
Pomegranate,Punica granatum,39,2.1.6.1.3
Pomelo,Citrus grandis,321,2.1.1.4
Poppy seed,Papaver somniferum,439,1.4.2.1.1
Potato,Solamum tuberosum,51,1.2.1
"Potato, sweet",Ipomoea batatas,52,1.2.2
Prune,Prunus domestica,356,2.1.3.4
"Pumpkin, edible",Cucurbita spp. (over 25 sp.),226,1.5.2.0.
"Pumpkin, for fodder",Cucurbita spp. (over 25 sp.),226,1.7.5.0.3
Pyrethum,Chrysanthemum cinerariaefolium,991,1.4.5.3
Quebracho,Aspidosperma spp. (more than 3 sp.),992,2.2.5.3
Queensland nut,See Macadamia,369,2.1.7.6
Quince,Cydonia oblonga,355,2.1.2.3
Quinine,Cinchona spp. (more than 6 sp.),932,2.2.7.5
Quinoa,Chenopodium quinoa,192,1.1.9
Radish,Raphanus sativus (inc. Cochlearia armoracia),239,1.5.3.4
Ramie,Boehmeria nivea,922,2.2.4.5
Rapeseed (colza),Brassica napus,435,1.4.2.0.5
Raspberry (all varieties),Rubus spp. (over 360 sp.),344,2.1.5.5
Red beet,Beta vulgaris,239,1.5.3.5
Redtop,Agrostis spp.,911,1.7.2.1
Rhea,Boehmeria nivea,922,2.2.4.5
Rhubarb,Rheum spp.,219,1.5.1.1.3
Rice,Oryza sativa; Oryza glaberrima,13,1.1.2
Rose,Rose spp.,952,2.2.6.1
Rubber,Hevea brasiliensis,94,2.2.5.1
Rutabaga (swede),Brassica napus var. napobrassica,239,1.5.3.6
Rye,Secale cereale,16,1.1.7
Ryegrass seed,Lolium spp. (about 20 sp.),991,1.8.4
Safflower,Carthamus tinctorius,436,1.4.2.0.9
Sainfoin,Onobrychis viciifolia,911,1.7.1.3
Salsify,Tragopogon porrifolius,239,1.5.3.8
Sapodilla,Achras sapota,39,2.1.6.1.4
Satsuma (mandarin/tangerine),Citrus reticulata,324,2.1.1.2
Scorzonera - black salsify,Scorzonera hispanica,239,1.5.3.8
Sesame,Sesamum indicum,437,1.4.2.0.7
Shea butter (nut),Vitellaria paradoxa,449,2.2.2.4
Sisal,Agave sisalana,922,2.2.4.2
Sorghum,Sorghum bicolor,14,1.1.5.2
"Sorghum, broom",Sorghum bicolor,14,1.4.5.4
"Sorghum, durra",Sorghum bicolor,14,1.1.5.2
"Sorghum, Guinea corn",Sorghum bicolor,14,1.1.5.2
"Sorghum, jowar",Sorghum bicolor,14,1.1.5.2
"Sorghum, sweet",Sorghum bicolor,183,1.4.1.3
Soybean,Glycine max,41,1.4.2.0.2
Soybean hay,Glycine max,41,1.7.1.3
Spelt wheat,Triticum spelta,192,1.1.9
Spinach,Spinacia oleracea,216,1.5.1.1.4
Squash,Cucurbita spp. (over 25 sp.),226,1.5.2.0.8
Strawberry,Fragaria spp. (over 30 sp.),345,2.1.5.6
Sugar beet,Beta vulgaris,81,1.4.1.2
Sugar beet for fodder,Beta vulgaris,81,1.7.5.0.6
Sugar beet for seed,Beta vulgaris,81,1.8.1
Sugarcane for fodder,Saccharum officinarum,82,1.7.5.0.7
Sugarcane for sugar or alcohol,Saccharum officinarum,82,1.4.1.1
Sugarcane for thatching,Saccharum officinarum,82,1.4.5.4
Sunflower for fodder,Helianthus annuus,438,1.7.5.0.4
Sunflower for oil seed,Helianthus annuus,438,1.4.2.0.4
Sunhemp,Crotalaria juncea,9213,1.4.4.5
Swede,Brassica napus var. napobrassica,239,1.5.3.6
Swede for fodder,Brassica napus var. napobrassica,239,1.7.5.0.8
Sweet corn,Zea mays,12,1.5.5.2
Sweet lime,Citrus limetta,322,2.1.1.6
Sweet pepper,Capsicum annuum,6211,1.5.2.0.9
Sweet potato,Lopmoea batatas,52,1.2.2
Sweet sorghum,Sorghum bicolor,183,1.4.1.3
Tangerine,Citrus reticulata,324,2.1.1.2
Tannia,Xanthosoma sagittifolium,59,1.2.8
Tapioca (cassava),Manihot esculenta,53,1.2.3
Taro,Colocasia esculenta,59,1.2.8
Tea,Camellia sinensis,612,2.2.1.3
Tef,Eragrostis abyssinica,192,1.1.9
Timothy,Phleum pratense,911,1.7.2.1
Tobacco,Nicotiana tabacum,96,1.4.5.1
Tomato,Lycopersicon esculentum,223,1.5.2.1.0
Trefoil,Lotus spp. (about 100 sp.),991,1.8.6
Triticale for fodder,Hybrid of Triticum aestivum and Secale cereale,17,1.7.3.2
Tung tree,Aleurites spp.; Fordii,449,2.2.2.4
"Turnip, edible",Brassica rapa,232,1.5.3.7
"Turnip, for fodder",Brassica rapa,232,1.7.5.0.9
Urena (Congo jute),Urena lobata,9214,1.4.4.5
Vanilla,Vanilla planifolia,6226,2.2.3.6
Vetch for grain,Vicia sativa,79,1.3.8
Walnut,"Juglans spp. (over 20 sp.), ep. regia",366,2.1.7.3
Watermelon,Citrullus lanatus,224,1.5.2.1.1
Wheat,Triticum aestivum,11,1.1.1
Yam,Dioscorea spp. (over 120 sp.),54,1.2.4
Yerba mate,Ilex paraguariensis,613,2.2.1.5
